reference_year,reference_month,soc_code,employment_estimate,relative_standard_error_percent,source_url,extraction_date
2021,5,15-2051,105980,,https://www.bls.gov/oes/2021/may/oes_nat.htm,2026-09-11
2022,5,15-2051,159630,,https://www.bls.gov/oes/2022/may/oes_nat.htm,2026-09-11
2023,5,15-2051,192710,1.2,https://www.bls.gov/oes/2023/may/oes_nat.htm,2026-09-11
2024,5,15-2051,233440,,https://www.bls.gov/oes/2024/may/oes_nat.htm,2026-09-11
2025,5,15-2051,262440,,https://www.bls.gov/oes/2025/may/oes_nat.htm,2026-09-11
