year,month,occupation,soc,soc_in_release,title_in_release,employment,source_url
2003,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,206700,https://web.archive.org/web/20040629025732/http://www.bls.gov:80/oes/2003/may/oes_nat.htm
2004,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,210020,https://web.archive.org/web/20060829172839/http://www.bls.gov:80/oes/2004/may/oes_nat.htm
2005,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,217700,https://web.archive.org/web/20070702195329/http://www.bls.gov:80/oes/2005/may/oes_nat.htm
2006,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,229430,https://web.archive.org/web/20111018102827/http://bls.gov/oes/2006/may/oes_nat.htm
2007,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,241270,https://web.archive.org/web/20120419010019/http://www.bls.gov/oes/2007/may/oes_nat.htm
2008,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,253040,https://web.archive.org/web/20111017040536/http://bls.gov/oes/2008/may/oes_nat.htm
2009,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,246810,https://web.archive.org/web/20111018102650/http://bls.gov/oes/2009/may/oes_nat.htm
2010,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants*,247940,https://web.archive.org/web/20120616173502/http://www.bls.gov:80/oes/2010/may/oes_nat.htm
2011,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants*,252250,https://web.archive.org/web/20160229005150/http://www.bls.gov/oes/2011/may/oes_nat.htm
2012,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,267030,https://web.archive.org/web/20160308095411/http://www.bls.gov/oes/2012/may/oes_nat.htm
2013,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,271320,https://web.archive.org/web/20140621205032/http://www.bls.gov/oes/2013/may/oes_nat.htm
2014,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,272580,https://web.archive.org/web/20160806135926/http://www.bls.gov/oes/2014/may/oes_nat.htm
2015,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,271930,https://web.archive.org/web/20171101121957/https://www.bls.gov/oes/2015/may/oes_nat.htm
2016,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,277310,https://web.archive.org/web/20181025211947/https://www.bls.gov/oes/2016/may/oes_nat.htm
2017,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,290410,https://web.archive.org/web/20190826022827/https://www.bls.gov/oes/2017/may/oes_nat.htm
2018,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,309940,https://web.archive.org/web/20200424010324/https://www.bls.gov/oes/2018/may/oes_nat.htm
2019,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,329870,https://web.archive.org/web/20201201083421/https://www.bls.gov/oes/2019/may/oes_nat.htm
2020,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,332720,https://web.archive.org/web/20220414091436/https://www.bls.gov/oes/2020/may/oes_nat.htm
2021,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,336250,https://web.archive.org/web/202210/https://www.bls.gov/oes/2021/may/oes_nat.htm
2022,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,345240,https://web.archive.org/web/202310/https://www.bls.gov/oes/2022/may/oes_nat.htm
2023,5,Paralegals,23-2011,23-2011,Paralegals and Legal Assistants,354890,https://web.archive.org/web/20250114190746/https://www.bls.gov/oes/2023/may/oes_nat.htm
2024,5,Paralegals,23-2011,23-2011,Paralegals and legal assistants,367220,https://web.archive.org/web/202504/https://www.bls.gov/news.release/archives/ocwage_04022025.htm
2025,5,Paralegals,23-2011,23-2011,Paralegals and legal assistants,392880,https://web.archive.org/web/2026/https://www.bls.gov/news.release/ocwage.t01.htm
1999,5,Translators,27-3091,27-3091,Interpreters and Translators,13640,https://web.archive.org/web/20020804075957/http://www.bls.gov:80/oes/1999/oes_nat.htm
2000,5,Translators,27-3091,27-3091,Interpreters and Translators,16780,https://web.archive.org/web/20020803075142/http://www.bls.gov:80/oes/2000/oes_nat.htm
2001,5,Translators,27-3091,27-3091,Interpreters and Translators,18900,https://web.archive.org/web/20051210174802/http://www.bls.gov:80/oes/2001/oes_nat.htm
2002,5,Translators,27-3091,27-3091,Interpreters and Translators,18600,https://web.archive.org/web/20060207064750/http://www.bls.gov:80/oes/2002/oes_nat.htm
2003,5,Translators,27-3091,27-3091,Interpreters and Translators,21910,https://web.archive.org/web/20040629025732/http://www.bls.gov:80/oes/2003/may/oes_nat.htm
2004,5,Translators,27-3091,27-3091,Interpreters and Translators,25410,https://web.archive.org/web/20060829172839/http://www.bls.gov:80/oes/2004/may/oes_nat.htm
2005,5,Translators,27-3091,27-3091,Interpreters and Translators,29240,https://web.archive.org/web/20070702195329/http://www.bls.gov:80/oes/2005/may/oes_nat.htm
2006,5,Translators,27-3091,27-3091,Interpreters and Translators,30910,https://web.archive.org/web/20111018102827/http://bls.gov/oes/2006/may/oes_nat.htm
2007,5,Translators,27-3091,27-3091,Interpreters and Translators,33680,https://web.archive.org/web/20120419010019/http://www.bls.gov/oes/2007/may/oes_nat.htm
2008,5,Translators,27-3091,27-3091,Interpreters and Translators,36610,https://web.archive.org/web/20111017040536/http://bls.gov/oes/2008/may/oes_nat.htm
2009,5,Translators,27-3091,27-3091,Interpreters and Translators,40000,https://web.archive.org/web/20111018102650/http://bls.gov/oes/2009/may/oes_nat.htm
2010,5,Translators,27-3091,27-3091,Interpreters and Translators,44200,https://web.archive.org/web/20120616173502/http://www.bls.gov:80/oes/2010/may/oes_nat.htm
2011,5,Translators,27-3091,27-3091,Interpreters and Translators,47950,https://web.archive.org/web/20160229005150/http://www.bls.gov/oes/2011/may/oes_nat.htm
2012,5,Translators,27-3091,27-3091,Interpreters and Translators,50320,https://web.archive.org/web/20160308095411/http://www.bls.gov/oes/2012/may/oes_nat.htm
2013,5,Translators,27-3091,27-3091,Interpreters and Translators,49060,https://web.archive.org/web/20140621205032/http://www.bls.gov/oes/2013/may/oes_nat.htm
2014,5,Translators,27-3091,27-3091,Interpreters and Translators,49460,https://web.archive.org/web/20160806135926/http://www.bls.gov/oes/2014/may/oes_nat.htm
2015,5,Translators,27-3091,27-3091,Interpreters and Translators,49650,https://web.archive.org/web/20171101121957/https://www.bls.gov/oes/2015/may/oes_nat.htm
2016,5,Translators,27-3091,27-3091,Interpreters and Translators,51350,https://web.archive.org/web/20181025211947/https://www.bls.gov/oes/2016/may/oes_nat.htm
2017,5,Translators,27-3091,27-3091,Interpreters and Translators,53150,https://web.archive.org/web/20190826022827/https://www.bls.gov/oes/2017/may/oes_nat.htm
2018,5,Translators,27-3091,27-3091,Interpreters and Translators,57140,https://web.archive.org/web/20200424010324/https://www.bls.gov/oes/2018/may/oes_nat.htm
2019,5,Translators,27-3091,27-3091,Interpreters and Translators,58870,https://web.archive.org/web/20201201083421/https://www.bls.gov/oes/2019/may/oes_nat.htm
2020,5,Translators,27-3091,27-3091,Interpreters and Translators,56920,https://web.archive.org/web/20220414091436/https://www.bls.gov/oes/2020/may/oes_nat.htm
2021,5,Translators,27-3091,27-3091,Interpreters and Translators,52170,https://web.archive.org/web/202210/https://www.bls.gov/oes/2021/may/oes_nat.htm
2022,5,Translators,27-3091,27-3091,Interpreters and Translators,52160,https://web.archive.org/web/202310/https://www.bls.gov/oes/2022/may/oes_nat.htm
2023,5,Translators,27-3091,27-3091,Interpreters and Translators,51560,https://web.archive.org/web/20250114190746/https://www.bls.gov/oes/2023/may/oes_nat.htm
2024,5,Translators,27-3091,27-3091,Interpreters and translators,53360,https://web.archive.org/web/202504/https://www.bls.gov/news.release/archives/ocwage_04022025.htm
2025,5,Translators,27-3091,27-3091,Interpreters and translators,52060,https://web.archive.org/web/2026/https://www.bls.gov/news.release/ocwage.t01.htm
1999,5,Writers & authors,27-3043,27-3043,Writers and Authors,45670,https://web.archive.org/web/20020804075957/http://www.bls.gov:80/oes/1999/oes_nat.htm
2000,5,Writers & authors,27-3043,27-3043,Writers and Authors,41410,https://web.archive.org/web/20020803075142/http://www.bls.gov:80/oes/2000/oes_nat.htm
2001,5,Writers & authors,27-3043,27-3043,Writers and Authors,40980,https://web.archive.org/web/20051210174802/http://www.bls.gov:80/oes/2001/oes_nat.htm
2002,5,Writers & authors,27-3043,27-3043,Writers and Authors,41990,https://web.archive.org/web/20060207064750/http://www.bls.gov:80/oes/2002/oes_nat.htm
2003,5,Writers & authors,27-3043,27-3043,Writers and Authors,43740,https://web.archive.org/web/20040629025732/http://www.bls.gov:80/oes/2003/may/oes_nat.htm
2004,5,Writers & authors,27-3043,27-3043,Writers and Authors,42780,https://web.archive.org/web/20060829172839/http://www.bls.gov:80/oes/2004/may/oes_nat.htm
2005,5,Writers & authors,27-3043,27-3043,Writers and Authors,43020,https://web.archive.org/web/20070702195329/http://www.bls.gov:80/oes/2005/may/oes_nat.htm
2006,5,Writers & authors,27-3043,27-3043,Writers and Authors,43260,https://web.archive.org/web/20111018102827/http://bls.gov/oes/2006/may/oes_nat.htm
2007,5,Writers & authors,27-3043,27-3043,Writers and Authors,44310,https://web.archive.org/web/20120419010019/http://www.bls.gov/oes/2007/may/oes_nat.htm
2008,5,Writers & authors,27-3043,27-3043,Writers and Authors,44170,https://web.archive.org/web/20111017040536/http://bls.gov/oes/2008/may/oes_nat.htm
2009,5,Writers & authors,27-3043,27-3043,Writers and Authors,43390,https://web.archive.org/web/20111018102650/http://bls.gov/oes/2009/may/oes_nat.htm
2010,5,Writers & authors,27-3043,27-3043,Writers and Authors,40980,https://web.archive.org/web/20120616173502/http://www.bls.gov:80/oes/2010/may/oes_nat.htm
2011,5,Writers & authors,27-3043,27-3043,Writers and Authors,40930,https://web.archive.org/web/20160229005150/http://www.bls.gov/oes/2011/may/oes_nat.htm
2012,5,Writers & authors,27-3043,27-3043,Writers and Authors,41990,https://web.archive.org/web/20160308095411/http://www.bls.gov/oes/2012/may/oes_nat.htm
2013,5,Writers & authors,27-3043,27-3043,Writers and Authors,43590,https://web.archive.org/web/20140621205032/http://www.bls.gov/oes/2013/may/oes_nat.htm
2014,5,Writers & authors,27-3043,27-3043,Writers and Authors,43500,https://web.archive.org/web/20160806135926/http://www.bls.gov/oes/2014/may/oes_nat.htm
2015,5,Writers & authors,27-3043,27-3043,Writers and Authors,43380,https://web.archive.org/web/20171101121957/https://www.bls.gov/oes/2015/may/oes_nat.htm
2016,5,Writers & authors,27-3043,27-3043,Writers and Authors,44690,https://web.archive.org/web/20181025211947/https://www.bls.gov/oes/2016/may/oes_nat.htm
2017,5,Writers & authors,27-3043,27-3043,Writers and Authors,45300,https://web.archive.org/web/20190826022827/https://www.bls.gov/oes/2017/may/oes_nat.htm
2018,5,Writers & authors,27-3043,27-3043,Writers and Authors,45210,https://web.archive.org/web/20200424010324/https://www.bls.gov/oes/2018/may/oes_nat.htm
2019,5,Writers & authors,27-3043,27-3043,Writers and Authors,45860,https://web.archive.org/web/20201201083421/https://www.bls.gov/oes/2019/may/oes_nat.htm
2020,5,Writers & authors,27-3043,27-3043,Writers and Authors,44240,https://web.archive.org/web/20220414091436/https://www.bls.gov/oes/2020/may/oes_nat.htm
2021,5,Writers & authors,27-3043,27-3043,Writers and Authors,49410,https://web.archive.org/web/202210/https://www.bls.gov/oes/2021/may/oes_nat.htm
2022,5,Writers & authors,27-3043,27-3043,Writers and Authors,54010,https://web.archive.org/web/202310/https://www.bls.gov/oes/2022/may/oes_nat.htm
2023,5,Writers & authors,27-3043,27-3043,Writers and Authors,49450,https://web.archive.org/web/20250114190746/https://www.bls.gov/oes/2023/may/oes_nat.htm
2024,5,Writers & authors,27-3043,27-3043,Writers and authors,47800,https://web.archive.org/web/202504/https://www.bls.gov/news.release/archives/ocwage_04022025.htm
2025,5,Writers & authors,27-3043,27-3043,Writers and authors,47940,https://web.archive.org/web/2026/https://www.bls.gov/news.release/ocwage.t01.htm
